Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;13;KREDKOWSKI;Andrzej;MÍøczyzna;nauczyciel religii w szkole podstawowej;LwÛwek ålπski;21203;gm. LwÛwek ålπski;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;2978;0.01624091970070461;0.006886568185812467;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;14;BUCIUTO;Jadwiga Barbara;Kobieta;nauczyciel matematyki;Zgorzelec;22502;m. Zgorzelec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1327;0.007236971270260247;0.0030686621835369857;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;15;G BORYS;Dagmara Helena;Kobieta;ekonomista;Kamienna GÛra;20701;m. Kamienna GÛra;nie naleøy do partii politycznej;;818;0.004461071966143845;0.0018916093942224976;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;16;BRZOZOWSKA;Kamila Dorota;Kobieta;kierownik wydzia≥u;Z≥otoryja;22602;m. Z≥otoryja;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1427;0.0077823345913047275;0.003299910275740225;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;17;BADZI—SKA;Agnieszka Ewa;Kobieta;ekonomista;G≥ogÛw;20301;m. G≥ogÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;741;0.004041142208939596;0.0017135483632260034;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;pracownik do spraw osobowych;Szklary GÛrne;21102;gm. Lubin;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;723;0.003942976811151589;0.0016719237066294204;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;19;CZYRKO;Eurydyka Maria;Kobieta;nauczyciel jÍzyka polskiego w szkole podstawowej;Olszyna;21005;gm. Olszyna;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;734;0.0040029667764664816;0.0016973609967717766;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;20;KWIATKOWSKA;Ewa;Kobieta;pielÍgniarka;Polkowice;21604;gm. Polkowice;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1553;0.008469492375820772;0.003591282871916307;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;21;URBANOWICZ;£ukasz Franciszek;MÍøczyzna;technik mechanik pojazdÛw samochodowych;Wola Augustowska;21204;gm. Mirsk;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;530;0.002890425601535743;0.0012256148886771684;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;22;SARBAK;Dawid £ukasz;MÍøczyzna;specjalista administracji publicznej;Boles≥awiec;20101;m. Boles≥awiec;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;352;0.001919678890076569;0.0008139932845554024;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;23;BOJAKOWSKA;Dorota;Kobieta;specjalista administracji publicznej;Bogatynia;22503;gm. Bogatynia;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1787;0.009745642547064854;0.0041324034076718865;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;24;LESZCZYK;Wojciech Pawe≥;MÍøczyzna;fizyk;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1699;0.009265722824545712;0.003928905086533036;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;1;SEKU£A-SZMAJDZI—SKA;Ma≥gorzata Helena;Kobieta;adwokat;Warszawa;146516;WilanÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;41480;0.5837238428955405;0.09592170864590367;Tak
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;2;OBAZ;Robert Marcin;MÍøczyzna;inøynier telekomunikacji;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;4205;0.05917451203895245;0.009723982277146213;Tak
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;3;FILACZY—SKA;Kaja;Kobieta;lekarka;Legnica;26201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;4045;0.056922925373974476;0.00935398532962103;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;4;ZBRZYZNY;Ryszard;MÍøczyzna;inøynier gÛrnik;Osiek;21102;gm. Lubin;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;4107;0.05779541520665344;0.00949735914678704;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;5;PI•TEK;Damian;MÍøczyzna;pracownik samorzπdowy;G≥ogÛw;20301;m. G≥ogÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;3196;0.04497544363293508;0.007390689026815529;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;6;BURAKOWSKA;Krystyna Anna;Kobieta;nauczyciel przedszkola;Legnica;26201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;588;0.008274580993794065;0.0013597387821550472;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;7;PACZ”SKI;Piotr Jerzy;MÍøczyzna;ekonomista;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1919;0.02700496756307961;0.004437650889380163;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;specjalista ds. konsultingu;Legnica;26201;m. Legnica;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;1216;0.017112058653832623;0.00281197680119139;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;9;GRY∆;Pawe≥;MÍøczyzna;inøynier organizacji i planowania produkcji;Jelenia GÛra;26101;m. Jelenia GÛra;cz≥onek partii politycznej: Lewica Razem;;473;0.0066562530783411435;0.001093803476121322;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;10;MIARA;Rafa≥;MÍøczyzna;ekonomista;Z≥otoryja;22602;m. Z≥otoryja;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1399;0.019687310901901185;0.003235160809923318;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;11;JANKOWSKA;Magdalena;Kobieta;biotechnolog;ChocianÛw;21601;gm. ChocianÛw;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;916;0.012890333656998916;0.002118232524581672;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;12;KR”LEWIECKA-WALA;Dominika;Kobieta;pedagog specjalny;Legnica;26201;m. Legnica;cz≥onek partii politycznej: Lewica Razem;;476;0.006698470328309481;0.001100740918887419;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;13;MAJEWICZ;Przemys≥aw Miko≥aj;MÍøczyzna;przedsiÍbiorca;Polkowice;21604;gm. Polkowice;cz≥onek partii politycznej: Wiosna Roberta Biedronia;;392;0.005516387329196043;0.0009064925214366981;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;14;BIDNYK;Miko≥aj Adam;MÍøczyzna;specjalista do spraw rekrutacji pracownikÛw;Bia≥a;20902;gm. ChojnÛw;nie naleøy do partii politycznej;;411;0.005783763245662177;0.0009504296589553136;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;15;KOHLMAN;Piotr Rafa≥;MÍøczyzna;nauczyciel;G≥ogÛw;20301;m. G≥ogÛw;nie naleøy do partii politycznej;;296;0.004165435330209257;0.0006844943529215884;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;16;G£USZKO;Rafa≥ Krzysztof;MÍøczyzna;lekarz;Gromadka;20103;gm. Gromadka;nie naleøy do partii politycznej;;827;0.011637888574604916;0.0019124217225207892;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;17;BACZMA—SKI;Pawe≥ Adam;MÍøczyzna;straøak;Sady GÛrne;20502;gm. BolkÛw;nie naleøy do partii politycznej;;730;0.010272864158962019;0.0016881110730836472;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;18;P£ANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;adwokat;Warszawa;146505;MokotÛw;nie naleøy do partii politycznej;;803;0.01130015057485822;0.0018569221803920117;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;19;GRZYB;Leszek Kazimierz;MÍøczyzna;menedøer;Zgorzelec;22502;m. Zgorzelec;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;574;0.00807756716060849;0.0013273640492465937;Nie
1;Legnica;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;20;RAKSZEWSKA;Alicja;Kobieta;policjant s≥uøby kryminalnej - emeryt;Lubin;21101;m. Lubin;nie naleøy do partii politycznej;;361;0.00508014241285656;0.000834805612853694;Nie
